hash_key,model,bleu_score,scorer,dataset
235f6638fc53336f1c54ab3999d6f4a0cabecd14a262fbe878b36cec3e0b50b3,web2text,0.4217453029442626,bleu,newspaper3k
2519fc9fa78801c51c162b5df6f269485942c8936225e39cd3e64e05e9cb9ae5,web2text,0.0,bleu,newspaper3k
267c8584736ffe9c658e618c98ce0dd93b174b218842b0f8caf1b8ca10d57b4f,web2text,0.7170115440032843,bleu,newspaper3k
28dd581885f99e9bc6cdbe78dcb16268b02b2ec832642aa056a4277a24d7e645,web2text,0.6576681306331468,bleu,newspaper3k
29e842abf83a8b10dc68829b754ca69ee664150cd11976013abd960c89b8acd7,web2text,0.9074260017188063,bleu,newspaper3k
301b71c6fb08aa71a74927e769ccb6a8c22b5943eee35e7f39d31f1533790ce8,web2text,0.9862187666155835,bleu,newspaper3k
3108c8c99dad1347bb2aaa5d813354260510b5258da0f54fe3834c268017eedf,web2text,0.6262021102068966,bleu,newspaper3k
3518215fce1634fe7723d9f16150213cc5fe1f03493ec0fecf1005391cec1c58,web2text,0.8226023228989647,bleu,newspaper3k
452575a76227e682ec3316350b1ed30dd23810a43c3dfb5baa2b60962083b4bd,web2text,0.006954688260882314,bleu,newspaper3k
45b6da2901bf38de1aed33a1ed8f270cf82574a72a5e127108cfaf8fb8bd7895,web2text,0.6772475137800777,bleu,newspaper3k
47cbd8745eab142d08a4b5634c58e7ba99dbecd9ba03ee32a216caf630f3712b,web2text,0.008726614684610483,bleu,newspaper3k
55e1fbe31cc7c2ec50802bc9b97605227cc48a4f738254ee212e57e754967a39,web2text,0.0,bleu,newspaper3k
56c89a32f64427dca929d3c714e3658cfedcce5897fc25fea66d2c6915de2b28,web2text,0.12325703070161327,bleu,newspaper3k
57055dd9a164af37690061ba93f25489c92524f9991e73cacef120ced7fbebb1,web2text,0.44876328041107544,bleu,newspaper3k
6279629a9f07f1f5e26655c485d6f4f4b3ab063415a0e12cb7badbe910a473f7,web2text,0.9528792497192048,bleu,newspaper3k
631cf03e45da87eada8875109ff64ea37efa995ada1d690d0d537e726e0b17ae,web2text,0.8861892190618192,bleu,newspaper3k
6336eba56ab91b26aca2db7270bdd13910a8e1c9cc3bb0a323099c0340de961d,web2text,0.7905072060073955,bleu,newspaper3k
6608038e94dac598981832feb92ea9f1ee57feb081c13c3b053c37797bf46526,web2text,0.8903491458652616,bleu,newspaper3k
6808b4de51298efc09936e1fe1f040f89b842c51d2428568fc226ba47cb9614a,web2text,0.0,bleu,newspaper3k
71ccc0ff4a21bf93084b745078e3499d20d1172a46c356fea311b34f23726cd5,web2text,0.990797001841925,bleu,newspaper3k
744280bbace5c967cf78ccc1b957b094c8cfa53e7c59986cff74d6ba93ab58c9,web2text,0.6220077752496882,bleu,newspaper3k
75ccf51501a550d2a3feda3cd41c3e555b87bcab58c4a9059754f54b1db47354,web2text,0.6753236127025387,bleu,newspaper3k
78be9cd1a39b6123d2a95057b9bb761d4b2adae8f0ddc837ce191bd7cb13422c,web2text,0.00020862851313915355,bleu,newspaper3k
7940d1602f387eccf61166215ed711ed38b09622b5d3168328decd348c7c9c5f,web2text,0.7843699633839607,bleu,newspaper3k
7dab9f97eb1feec68daa5b2e5fe01aef284de0a1ab80dcb44abf946b8af77b56,web2text,0.13714482984784765,bleu,newspaper3k
7f77b4f3a5453d73d66f8737e0f502d6378a987a9363db080f5976885b923cfe,web2text,0.7135520388794467,bleu,newspaper3k
80a3b5e8759916d77ba6dfc6a9d14b347cde8e257003af45200963a8104785bb,web2text,0.6124950060760661,bleu,newspaper3k
84b1cb069c1f8fb7d92a789610f80dd0599abb43ed335b5b7e0f047349de2d02,web2text,0.10733002194658488,bleu,newspaper3k
84c94a0492f831344bbbf3ac66d687e90dfce8986a13d5188bbde7db0c6951a5,web2text,0.7404936290474688,bleu,newspaper3k
852c3502c7ccfb2b478089dea50801a970ae944ec646466a5e3d6940374f99a5,web2text,0.0,bleu,newspaper3k
88cd3d835d022cfe63b49869611ea6c7c50edaa43014ae57e1ae01707f9a71ba,web2text,0.985666094283291,bleu,newspaper3k
8973ef546d79d70cfe25ece55e343ba59438de3638397b19a1c925607199e389,web2text,0.35124890646744616,bleu,newspaper3k
8e9177bbda281db712d5b3e6cb65ce480865cff1f70cc4d0e98166d48c0a3f53,web2text,0.8109598092444538,bleu,newspaper3k
950e5ba9529f7bcc7d3484e3b7f4095fb936c241b70093e056d7d62169101c23,web2text,0.931372409320237,bleu,newspaper3k
97e38219de30be3b071bf3b395b1087dac437674559dd276c297d129d9bc630b,web2text,0.0,bleu,newspaper3k
9884c9a24c42641b4480e530c9fffe0c338a6711a81cfc9ae9136ffed490c05b,web2text,0.904652588905995,bleu,newspaper3k
9993a858ac692a50d039313bad0d3ce890f2719ba8aef998ab14961266276402,web2text,0.3710168002317037,bleu,newspaper3k
99ec8dc74e6706307e78e19de08e8375265ed94746465ab36187ec9e6aa6e9a0,web2text,0.9496546127653244,bleu,newspaper3k
9aaab6186c15d8c3973e0fd9539a88d07e44ec8e1b81642c6a01fb5d57df9a11,web2text,0.9853658317166384,bleu,newspaper3k
9b104175bdc093aca708d4673c2cee603fc031a2aaea34ada0d664182bf6263b,web2text,0.7334793368688862,bleu,newspaper3k
9b795a6d7246afce803890e23da94ddc50ac98b71f6da11acdb069b977d0842e,web2text,0.9141331851917043,bleu,newspaper3k
9c5040a82bab03c9896960cab414d2d55c1ac97c575b151ee359052e7cc92c11,web2text,0.5819163584851129,bleu,newspaper3k
9cb08b8ad53e37936d15436dca45759c8f9295b7ecb47b91a57b0958efc3d7b7,web2text,0.848706237930841,bleu,newspaper3k
9d249b4f2beed7bd6281a1aa68c96f31e22254e6b1eb4af4cc4d73d021cc9916,web2text,0.8914537044118079,bleu,newspaper3k
9e4f027323c35b2d155cc62c34107880837cfb2ea537333fcc4a2f9d6e99a86b,web2text,0.3017508966605781,bleu,newspaper3k
9f3cfb775d71b0416f1f06b65d3b2b546e844f94363bef64a7407e8862656f62,web2text,0.958506194856463,bleu,newspaper3k
de2761d613ae62757648b9035d603d0d5846ef55d85b27b4fd8c3bf623aa64b2,web2text,0.8107733832617178,bleu,newspaper3k
602198377e82eb69fe2c4f92ba75fcb9a461d56bb9fe34e478d693bb84c6d1c5,web2text,0.0,bleu,newspaper3k
7987778a7a5b3ba6878efda492038bb316dbca97f5ce5ad904907e2a426837a8,web2text,0.5416434326935052,bleu,newspaper3k
83995813e0595e3db505ccaabd7bbf95c4b25731e0b61e15a3b9ba9b4088cf01,web2text,0.9474823880715729,bleu,newspaper3k
896753450fefcf9634fb5491e8080a4dd218c5ee654c9cb0bc88fb1a1d323b65,web2text,0.28901352349617154,bleu,newspaper3k
944622410525a8d2458d5094d91a91ea3248fc6f387c4ff71ee0c3305a92accf,web2text,0.3533413594945395,bleu,newspaper3k
d91444b15702f646440fb53819122491074a89867a84edb881b45b9e9351c72e,web2text,0.013268615967841162,bleu,newspaper3k
dc0fc4386ae10ed9d3c1b4dcc79ffefcc0be15c24997444f04256960ce58d731,web2text,0.9244248781824306,bleu,newspaper3k
dc664a79d2712485acad5f0401a848bd449c2eca37594a949c580889b5b42e17,web2text,0.00144363678842704,bleu,newspaper3k
df0dc90c86e07a3701b784bbbb1c3de84fba4045376dfc645bcebc3c6c6c5564,web2text,0.6884716736637261,bleu,newspaper3k
